"","Text","Retweets","Favorited"
"225","That skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"226","Nice @skittles #Commercial! Creative and fun! #superbowl","0","FALSE"
"227","That skittles commercial drawed lol","0","FALSE"
"228","That arm wrastlin commercial lmao","0","FALSE"
"229","The #Lexus commercial was just weird...","0","FALSE"
"230","That skittles commercial had me dying <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"231","Lmao that skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>","0","FALSE"
"232","that baby in the commercial is in better shape then ill ever be","0","FALSE"
"233","umm that skittles commercial was weird as fuck","0","FALSE"
"234","the skittle commercial oh my god","0","FALSE"
"235","Skittles commercial 50 percent deflated.","0","FALSE"
"236","skittles commercial<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","1","FALSE"
"237","That @Skittles commercial...","0","FALSE"
"238","RT @Faux_Gruden: A Brady Bunch commercial following a Tom Brady interception. Wow. If there's a Willson commercial after this drive then my…","1135","FALSE"
"239","skittles HGH commercial: 0/10","0","FALSE"
"240","The skittles commercial tho haha","0","FALSE"
"241","That cruise ship commercial was deep af","0","FALSE"
"242","Skittles commercial YES lmbo","0","FALSE"
"243","Everyone in that skittles commercial watches Mia Kalifa.","4","FALSE"
"244","that skittles commercial lmao","0","FALSE"
"245","Thought the sea commercial was geared towards the Seahawks for a minute <ed><U+00A0><U+00BD><ed><U+00B8><U+00B4>","0","FALSE"
